Date,Location,Rainfall,Cloud3pm,Temp3pm
2008-12-03,Albury,0.0,2.0,23.2
2008-12-05,Albury,1.0,8.0,29.7
2008-12-12,Albury,2.2,8.0,17.0
2008-12-13,Albury,15.6,8.0,15.8
2008-12-14,Albury,3.6,7.0,19.8
2008-12-17,Albury,0.0,1.0,18.1
2008-12-18,Albury,16.8,1.0,21.5
2008-12-19,Albury,10.6,2.0,21.0
2008-12-22,Albury,0.0,1.0,31.6
2008-12-26,Albury,0.0,1.0,33.0
2008-12-27,Albury,0.0,1.0,31.2
2008-12-30,Albury,1.2,8.0,18.2
2009-01-22,Albury,0.6,1.0,33.1
2009-02-08,Albury,0.0,5.0,38.5
2009-02-09,Albury,0.4,8.0,29.4
2009-02-10,Albury,0.0,1.0,25.8
2009-02-12,Albury,0.0,8.0,17.3
2009-02-24,Albury,0.0,7.0,28.6
2009-02-25,Albury,0.0,7.0,29.3
2009-03-12,Albury,0.0,8.0,18.8
2009-03-14,Albury,3.0,4.0,19.7
2009-03-15,Albury,11.6,8.0,18.3
2009-03-16,Albury,0.0,6.0,20.5
2009-03-21,Albury,0.0,2.0,33.5
2009-03-22,Albury,0.0,1.0,29.0
2009-03-25,Albury,0.4,8.0,19.6
2009-03-26,Albury,1.8,6.0,29.2
2009-04-03,Albury,8.6,6.0,27.4
2009-04-10,Albury,0.0,7.0,24.3
2009-04-11,Albury,8.4,6.0,24.4
2009-04-17,Albury,0.0,1.0,21.6
2009-04-24,Albury,0.0,8.0,15.1
2009-04-25,Albury,20.0,8.0,14.5
2009-04-26,Albury,21.0,8.0,11.6
2009-04-27,Albury,3.2,8.0,9.4
2009-04-28,Albury,4.8,1.0,14.0
2009-04-29,Albury,0.0,8.0,12.1
2009-05-02,Albury,0.0,4.0,19.1
2009-05-13,Albury,0.0,8.0,14.6
2009-05-14,Albury,0.0,8.0,15.3
2009-05-15,Albury,0.0,7.0,15.9
2009-05-16,Albury,1.8,8.0,14.5
2009-05-20,Albury,0.0,7.0,18.0
2009-05-25,Albury,0.0,8.0,19.5
2009-05-26,Albury,4.2,3.0,17.4
2009-06-01,Albury,1.2,8.0,14.0
2009-06-02,Albury,1.4,8.0,13.4
2009-06-03,Albury,4.8,8.0,13.0
2009-06-04,Albury,8.0,7.0,16.5
2009-06-06,Albury,0.2,8.0,10.2
2009-06-07,Albury,14.4,8.0,11.5
2009-06-08,Albury,4.6,8.0,11.4
2009-06-09,Albury,2.0,8.0,7.9
2009-06-10,Albury,5.6,4.0,9.7
2009-06-11,Albury,0.0,1.0,8.8
2009-06-12,Albury,0.0,7.0,7.9
2009-06-13,Albury,0.0,4.0,12.1
2009-06-20,Albury,0.0,8.0,16.7
2009-06-21,Albury,1.6,1.0,16.4
2009-06-22,Albury,5.6,8.0,13.6
2009-06-23,Albury,0.0,6.0,15.2
2009-06-24,Albury,6.0,5.0,13.7
2009-06-25,Albury,0.0,8.0,11.6
2009-06-27,Albury,0.0,8.0,11.3
2009-06-28,Albury,5.4,8.0,12.3
2009-06-29,Albury,3.6,8.0,15.6
2009-06-30,Albury,2.0,8.0,15.3
2009-07-01,Albury,8.4,5.0,13.1
2009-07-02,Albury,5.0,4.0,11.4
2009-07-03,Albury,7.8,1.0,11.7
2009-07-04,Albury,0.0,8.0,12.6
2009-07-11,Albury,0.6,1.0,13.2
2009-07-12,Albury,0.6,6.0,15.4
2009-07-13,Albury,1.0,8.0,12.3
2009-07-14,Albury,6.8,8.0,10.1
2009-07-18,Albury,0.0,5.0,11.2
2009-07-19,Albury,0.6,8.0,13.5
2009-07-22,Albury,0.0,8.0,10.2
2009-07-23,Albury,9.8,7.0,12.9
2009-07-24,Albury,0.0,2.0,11.6
2009-07-27,Albury,0.0,8.0,7.3
2009-07-28,Albury,3.8,8.0,12.0
2009-07-29,Albury,2.4,8.0,12.1
2009-07-30,Albury,0.2,7.0,12.0
2009-07-31,Albury,5.2,8.0,12.7
2009-08-01,Albury,0.2,3.0,13.3
2009-08-02,Albury,0.8,6.0,13.3
2009-08-05,Albury,5.4,8.0,13.6
2009-08-07,Albury,0.8,8.0,13.7
2009-08-11,Albury,0.4,1.0,15.6
2009-08-12,Albury,4.8,8.0,13.0
2009-08-13,Albury,0.2,7.0,11.1
2009-08-16,Albury,1.6,8.0,14.3
2009-08-18,Albury,0.0,2.0,14.4
2009-08-19,Albury,0.0,1.0,15.2
2009-08-21,Albury,1.0,8.0,10.1
2009-08-23,Albury,3.8,3.0,18.2
2009-08-26,Albury,3.6,8.0,13.6
2009-08-29,Albury,4.2,8.0,17.5
2009-08-30,Albury,13.4,8.0,10.7
2009-08-31,Albury,1.4,5.0,13.9
2009-09-01,Albury,3.0,1.0,12.5
2009-09-05,Albury,0.0,6.0,14.9
2009-09-08,Albury,0.0,4.0,15.3
2009-09-09,Albury,0.0,8.0,13.4
2009-09-10,Albury,0.0,6.0,14.3
2009-09-17,Albury,0.0,7.0,14.0
2009-09-19,Albury,0.0,8.0,19.2
2009-09-22,Albury,8.4,1.0,19.2
2009-09-23,Albury,28.8,8.0,15.9
2009-09-24,Albury,1.4,4.0,17.2
2009-09-25,Albury,0.0,7.0,17.3
2009-09-26,Albury,6.0,6.0,11.1
2009-09-27,Albury,1.6,8.0,10.7
2009-09-28,Albury,0.0,1.0,16.8
2009-10-03,Albury,3.2,7.0,13.0
2009-10-04,Albury,1.8,1.0,14.8
2009-10-06,Albury,0.0,2.0,10.0
2009-10-12,Albury,0.0,1.0,19.0
2009-10-13,Albury,2.0,6.0,14.8
2009-10-14,Albury,7.0,1.0,14.1
2009-10-15,Albury,1.4,8.0,10.9
2009-10-16,Albury,6.8,4.0,14.9
2009-10-17,Albury,0.0,1.0,18.8
2009-10-18,Albury,0.0,8.0,19.3
2009-11-20,Albury,0.0,1.0,36.4
2009-11-21,Albury,10.6,8.0,20.8
2009-11-22,Albury,25.8,8.0,25.6
2009-11-24,Albury,0.0,1.0,24.9
